날짜,NAV,시가,고가,저가,종가,거래량,거래대금,기초지수
2025-09-25,14354.15,14485,14485,14235,14300,3283,46985751,1422.74
2025-09-26,14069.37,14380,14380,13890,13990,4677,65559520,1394.47
2025-09-29,14294.5,13850,14230,13850,14195,791,11206565,1416.75
2025-09-30,14198.03,14260,14260,14095,14120,671,9496960,1407.18
2025-10-01,14258.54,14245,14250,14150,14170,1388,19728440,1413.25
2025-10-02,14444.64,14205,14500,14205,14500,2057,29408305,1431.89
2025-10-10,14439.57,14500,14600,14200,14340,6814,97278800,1431.45
2025-10-13,14469.63,14345,16000,13965,14350,560,7998610,1434.45
2025-10-14,14224.85,14600,14600,13965,14095,1085,15550065,1410.09
2025-10-15,14402.54,14215,14330,14115,14295,1803,25731765,1427.8
2025-10-16,14491.15,14325,14400,14295,14375,2940,42243515,1436.63
2025-10-17,14573.02,14580,14720,14330,14465,3116,45299315,1444.8
2025-10-20,14921.25,14560,14865,14540,14820,3242,47911785,1479.5
2025-10-21,14887.33,14450,15000,14450,14785,1594,23727037,1476.13
2025-10-22,15039.77,14800,14910,14730,14910,666,9896387,1491.32
2025-10-23,14871.27,14570,14935,14570,14795,408,6060820,1474.59
2025-10-24,15128.46,14895,15070,14895,15070,2154,32330165,1500.23
2025-10-27,15648.63,13905,15560,13905,15560,1667,25673261,1552.02
2025-10-28,15638.38,15560,15585,15300,15565,962,14913335,1551.03
2025-10-29,15583.85,15125,15760,15125,15515,932,14469877,1545.63
2025-10-30,15432.43,15515,15620,15200,15390,1297,19972885,1530.57
2025-10-31,15620.72,15015,15590,15015,15560,1012,15720862,1549.34
2025-11-03,15965.58,15515,15890,15515,15890,1712,26916779,1583.63
2025-11-04,16343.98,16000,16415,15965,16260,4547,74075950,1621.28
2025-11-05,15826.03,16260,16260,15300,15755,4762,75262910,1569.78
2025-11-06,15810.25,16000,16090,15575,15770,3127,49262212,1568.19
2025-11-07,15377.46,15660,15660,15120,15320,3542,54509600,1525.2
2025-11-10,15469.84,15720,15720,15190,15460,1776,27218810,1534.39
2025-11-11,15405.38,15630,15665,15225,15380,3407,52552865,1527.98
2025-11-12,15943.52,15440,15895,15440,15880,3209,50200685,1581.52
2025-11-13,16249.26,15610,16215,15610,16215,3204,51414260,1611.94
2025-11-14,15915.41,16500,16500,15820,15850,2394,38135355,1578.79
2025-11-17,16023.21,15880,16000,15820,15955,726,11567930,1589.52
2025-11-18,15617.79,15850,15975,15460,15580,1426,22251555,1549.22
2025-11-19,15438.7,15700,15700,15050,15375,19615,301758030,1531.44
2025-11-20,15871.92,15525,15880,15525,15785,5694,89468537,1574.54
2025-11-21,15301.93,15500,15500,15100,15245,14881,226553572,1517.92
2025-11-24,15011.58,15285,15485,14900,14980,1475,22258780,1489.11
2025-11-25,14964.74,15030,15210,14825,14920,1569,23602990,1484.5
2025-11-26,15373.3,15000,15325,15000,15300,4164,63468054,1525.13
2025-11-27,15389.73,15615,15615,15310,15350,11734,180281405,1526.78
2025-11-28,16078.56,15425,16050,15425,16020,4310,68510786,1595.3
2025-12-01,16336.85,16310,16520,16235,16315,6570,107529510,1620.93
2025-12-02,16329.52,16475,16475,16125,16320,2366,38468465,1620.25
2025-12-03,16322.03,16220,16410,16200,16290,3601,58621655,1619.57
2025-12-04,16181.95,16290,16380,16050,16190,1100,17864627,1605.63
2025-12-05,15930.21,16160,16185,15780,15925,14993,240483490,1580.75
2025-12-08,16112.09,16215,16215,15960,16100,7051,112899680,1598.78
2025-12-09,16156.54,15980,16195,15980,16035,4811,77479089,1603.17
2025-12-10,16253.06,16135,16260,16070,16205,9199,148487505,1612.85
2025-12-11,16083.63,16275,16275,15990,16080,3594,58282395,1598.17
2025-12-12,15981.61,16030,16060,15875,15970,4140,65814970,1588.11
2025-12-15,15974.7,15755,15950,15630,15950,9428,149681877,1587.45
2025-12-16,15536.99,15875,15875,15485,15485,11931,186629095,1544.11
2025-12-17,15453.56,15575,15575,15355,15425,17713,273727345,1535.87
2025-12-18,15204.2,15240,15290,15140,15200,39229,598168465,1511.18
2025-12-19,15433.73,15310,15765,15100,15370,11500,176314140,1533.99
2025-12-22,15596.14,15565,15625,15520,15605,421,6557140,1550.1
2025-12-23,15503.91,15635,15675,15445,15515,1241,19253695,1540.98
2025-12-24,15393.79,15515,15515,15350,15425,11520,177489415,1530.15
2025-12-26,15501.42,15455,15545,15380,15545,41532,640303330,1540.87
2025-12-29,15750.83,15555,15735,15555,15680,8013,124975435,1562.69
2025-12-30,15595.49,15685,15685,15475,15565,1319,20500194,1547.32
2026-01-02,15964.38,15770,15935,15770,15910,12022,190573355,1584.03
2026-01-05,16208.9,15980,16155,15935,16115,34503,555300545,1608.33
2026-01-06,16242.25,16125,16225,16080,16135,6023,97452695,1611.65
2026-01-07,16086.17,16180,16190,15855,15955,19136,305312230,1596.17
2026-01-08,16082.92,16015,16065,15970,15985,25423,407027750,1595.91
2026-01-09,16101.64,15985,16015,15775,16000,7069,112576080,1597.81
2026-01-12,16064.18,16000,16155,15830,15965,7203,115064795,1594.09
2026-01-13,16060.62,16045,16050,15855,15980,9760,155345110,1593.71
2026-01-14,15884.17,15945,15960,15710,15790,8708,138425695,1576.2
2026-01-15,16010.93,15835,15940,15745,15940,3915,61992075,1588.79
2026-01-16,16182.82,15940,16100,15725,16080,11057,177103625,1605.85
2026-01-19,16339.83,16010,16235,15970,16220,2530,40883350,1621.44
2026-01-20,16392.25,16315,16610,16105,16330,23158,379166697,1626.69
2026-01-21,15600.05,15885,16080,15320,15575,8533,133900490,1548.11
2026-01-22,16057.44,15775,16040,15655,16020,3666,57943492,1593.53
2026-01-23,16696.88,16120,16700,16115,16685,14172,231914458,1657.1
2026-01-26,18528.45,17035,18595,17030,18595,255278,4565148408,1838.95
2026-01-27,19053.2,18410,19310,18380,19085,112248,2117037689,1891.12
2026-01-28,20476.7,19280,20540,19280,20495,269898,5362038261,2032.48
2026-01-29,21114.21,21075,22000,19935,21160,222871,4626959354,2095.89
2026-01-30,20675.7,21040,21595,20685,20685,275065,5855467670,2052.25
2026-02-02,19543.47,20245,20670,19300,19450,251138,5082472105,1939.62
2026-02-03,20310.18,20340,20340,19835,20315,46460,933496066,2015.88
2026-02-04,20236.71,20115,20580,20000,20195,210922,4254212552,2008.55
2026-02-05,19355.63,19940,20150,19275,19350,191232,3793444810,1920.83
2026-02-06,18747.77,18565,19020,18275,18690,199044,3709953472,1860.48
2026-02-09,19759.7,19310,19850,19210,19780,280322,5485869712,1961.02
2026-02-10,19332.48,19835,20040,19295,19305,99050,1948186868,1918.61
2026-02-11,19304.35,19480,19610,19260,19320,47107,913302045,1915.8
2026-02-12,19616.82,19405,19610,19150,19515,198244,3845909887,1946.5
2026-02-13,19168.3,19270,19385,19050,19120,18908,362564610,1901.96
2026-02-19,20570.52,19460,20660,19320,20550,95252,1925406902,2041.2
2026-02-20,20408.0,20595,20635,20225,20410,36213,739012002,2025.08
2026-02-23,20204.35,20660,20825,20020,20185,29886,610878957,2004.77
2026-02-24,20371.23,20285,20465,20080,20330,15545,315543995,2021.32
2026-02-25,20373.4,20470,20495,20210,20340,33526,681147030,2021.62
2026-02-26,21108.51,20505,21235,20315,21210,101316,2122406320,2094.45
2026-02-27,21330.05,20795,21535,20760,21290,34196,722870597,2116.6
2026-03-03,20259.78,20890,21930,20235,20235,89827,1888432867,2010.19
2026-03-04,17270.89,19660,19975,17270,17270,128284,2435720101,1713.07
2026-03-05,20017.53,18575,20990,18575,19650,174297,3495322325,1985.98
